"nombre","descripcion","SKU","categoria_id","unidad_medida_base_id","nombre_empaque_estandar","cantidad_empaque_estandar","unidad_medida_empaque_estandar_id","precio_compra_usd","punto_reorden"
"Vino Dulce Cocina Harina P.A.N. (Paquete 500g)","Insumo esencial para panadería (bebidas).","MP-BEB-4883","10","2","Paquete 500g","500","1","1.25","150"
"Lluvia de Chocolate Bakels (Botella 1L)","Insumo esencial para panadería (dulces y golosinas).","MP-DUL-2298","12","2","Botella 1L","1000","4","2.08","300"
"Cardamomo Harina P.A.N. (Caja 6kg)","Insumo esencial para panadería (especias).","MP-ESP-1261","11","2","Caja 6kg","6000","2","66.87","1800"
"Sirope de Chocolate Kraft (Paquete 500g)","Insumo esencial para panadería (mermeladas).","MP-MER-7790","7","5","Paquete 500g","500","5","3.21","150"
"Pulpa de Mora Campestre (Paquete 1kg)","Insumo esencial para panadería (congelados).","MP-CON-2738","8","2","Paquete 1kg","1000","2","5.74","300"
"Cardamomo Avelina (Bidón 20L)","Insumo esencial para panadería (especias).","MP-ESP-7451","11","3","Bidón 20L","20000","3","270.29","6000"
"Mantequilla con Sal Alpina (Bidón 20L)","Insumo esencial para panadería (lácteos).","MP-LÁC-2401","2","2","Bidón 20L","20000","4","56.66","6000"
"Glaseado de Chocolate Primicia (Paquete 500g)","Insumo esencial para panadería (dulces y golosinas).","MP-DUL-9187","12","5","Paquete 500g","500","5","1.25","150"
"Extracto de Limón Los Andes (Bidón 20L)","Insumo esencial para panadería (esencias).","MP-ESE-4027","9","5","Bidón 20L","20000","3","573.21","6000"
"Masa Quebrada Primicia (Botella 1L)","Insumo esencial para panadería (congelados).","MP-CON-7590","8","3","Botella 1L","1000","3","7.72","300"
"Jarabe de Glucosa Nestlé (Botella 1L)","Insumo esencial para panadería (bebidas).","MP-BEB-8332","10","3","Botella 1L","1000","3","1.52","300"
"Queso Crema Alpina (Botella 1L)","Insumo esencial para panadería (lácteos).","MP-LÁC-6832","2","2","Botella 1L","1000","4","2.09","300"
"Malta Concentrada Robin Hood (Paquete 500g)","Insumo esencial para panadería (bebidas).","MP-BEB-8615","10","5","Paquete 500g","500","5","2.2","150"
"Base para Tartas Fleischmann (Caja 6kg)","Insumo esencial para panadería (congelados).","MP-CON-9492","8","1","Caja 6kg","6000","2","36.63","1800"
"Harina de Maíz Blanco Imperial (Paquete 500g)","Insumo esencial para panadería (harinas).","MP-HAR-2614","3","2","Paquete 500g","500","1","0.49","150"
"Leche Condensada Mavesa (Paquete 1kg)","Insumo esencial para panadería (lácteos).","MP-LÁC-2332","2","2","Paquete 1kg","1000","2","4.58","300"
"Jarabe de Glucosa Campestre (Saco 45kg)","Insumo esencial para panadería (bebidas).","MP-BEB-1417","10","1","Saco 45kg","45000","2","148.94","13500"
"Suero de Leche Mavesa (Botella 1L)","Insumo esencial para panadería (lácteos).","MP-LÁC-3945","2","5","Botella 1L","1000","3","5.76","300"
"Jalea de Membrillo Kraft (Saco 25kg)","Insumo esencial para panadería (mermeladas).","MP-MER-7781","7","1","Saco 25kg","25000","2","215.29","7500"
"Moras Silvestres Alpina (Caja 6kg)","Insumo esencial para panadería (frutas).","MP-FRU-5150","4","1","Caja 6kg","6000","2","22.76","1800"
