nombre_producto,SKU,descripcion,unidad_produccion_id,unidad_venta_id,precio_venta_usd,punto_reorden,categoria_id,es_intermediario,tipo_medida_fisica,vendible_por_medida_real
Croissant de Chocolate,PE-FIN-001,Croissant hojaldrado relleno de chocolate.,6,6,3.5,100.0,12,False,UNIDAD,False
Tarta de LimÃ³n Individual,PE-FIN-002,Tarta con crema de limÃ³n y merengue.,6,6,4.25,80.0,12,False,UNIDAD,False
Pan Gallego Artesanal,PE-FIN-003,Pan rÃºstico de corteza crujiente.,6,6,2.8,150.0,10,False,UNIDAD,False
Empanada de Carne,PE-FIN-004,Empanada horneada con relleno de carne.,6,6,2.5,200.0,11,False,UNIDAD,False
Canilla de Crema,PE-FIN-005,Pastel cilÃ­ndrico relleno de crema.,6,6,3.0,120.0,12,False,UNIDAD,False
Torta Selva Negra XL,PE-FIN-006,Torta de chocolate con cerezas (8 porciones).,6,6,28.0,20.0,12,False,UNIDAD,False
Pastelito de Pollo,PE-FIN-007,Pastelito frito con relleno de pollo.,6,6,2.2,180.0,11,False,UNIDAD,False
Galletas de Mantequilla (Paquete 6u),PE-FIN-008,Galletas clÃ¡sicas de mantequilla.,6,6,4.5,100.0,9,False,UNIDAD,False
Pan Integral de Semillas,PE-FIN-009,Pan saludable con semillas variadas.,6,6,3.2,130.0,10,False,UNIDAD,False
Pastelito de Queso y JamÃ³n,PE-FIN-010,Pastelito horneado con relleno cremoso.,6,6,2.4,160.0,11,False,UNIDAD,False
Tarta de Fresa (8 porciones),PE-FIN-011,Tarta con crema chantilly y fresas frescas.,6,6,26.0,25.0,12,False,UNIDAD,False
Croissant Simple,PE-FIN-012,Croissant tradicional sin relleno.,6,6,2.8,140.0,12,False,UNIDAD,False
Empanada de AtÃºn,PE-FIN-013,Empanada horneada con relleno de atÃºn.,6,6,2.6,170.0,11,False,UNIDAD,False
Pan de MaÃ­z Dulce,PE-FIN-014,Pan suave con sabor a maÃ­z.,6,6,2.5,110.0,10,False,UNIDAD,False
Galletas de Chocolate (Paquete 6u),PE-FIN-015,Galletas crujientes de chocolate.,6,6,4.8,90.0,9,False,UNIDAD,False
Pastel de Zanahoria Individual,PE-FIN-016,Pastel hÃºmedo con glaseado de queso crema.,6,6,3.8,100.0,12,False,UNIDAD,False
Empanada Vegetariana,PE-FIN-017,Empanada con relleno de vegetales.,6,6,2.3,150.0,11,False,UNIDAD,False
Pan de Avena y Miel,PE-FIN-018,Pan nutritivo con avena y miel.,6,6,3.4,120.0,10,False,UNIDAD,False
Tarta de Chocolate (6 porciones),PE-FIN-019,Tarta densa de chocolate con ganache.,6,6,24.0,30.0,12,False,UNIDAD,False
Pastelito de Carne Mechada,PE-FIN-020,Pastelito con relleno tradicional venezolano.,6,6,2.7,140.0,11,False,UNIDAD,False
CafÃ© Latte Artesanal,PE-FIN-021,Bebida caliente de cafÃ© con leche.,5,5,2.5,50.0,8,False,VOLUMEN,True
Croissant de JamÃ³n y Queso,PE-FIN-022,Croissant salado relleno.,6,6,3.8,110.0,11,False,UNIDAD,False
Galletas Decoradas NavideÃ±as (Paquete 4u),PE-FIN-023,Galletas con glaseado real decorado.,6,6,6.5,60.0,9,False,UNIDAD,False
Pan de Centeno Artesanal,PE-FIN-024,Pan denso de centeno.,6,6,3.6,100.0,10,False,UNIDAD,False
Empanada de Espinaca y Queso,PE-FIN-025,Empanada vegetariana horneada.,6,6,2.5,160.0,11,False,UNIDAD,False
Tarta de Dulce de Leche (8 porciones),PE-FIN-026,Tarta cremosa con dulce de leche.,6,6,27.0,22.0,12,False,UNIDAD,False
Pastelito de ChampiÃ±ones,PE-FIN-027,Pastelito gourmet con champiÃ±ones.,6,6,2.9,130.0,11,False,UNIDAD,False
Pan de Bono (Paquete 4u),PE-FIN-028,Panes colombianos de queso.,6,6,5.2,80.0,10,False,UNIDAD,False
Brownie de Chocolate Individual,PE-FIN-029,Brownie denso con nueces.,6,6,3.2,110.0,9,False,UNIDAD,False
Croissant de Almendras,PE-FIN-030,Croissant con relleno de crema de almendras.,6,6,4.0,90.0,12,False,UNIDAD,False
Tarta de Coco (6 porciones),PE-FIN-031,Tarta tropical con crema de coco.,6,6,23.0,28.0,12,False,UNIDAD,False
Empanada de Pavo y ArÃ¡ndanos,PE-FIN-032,Empanada festiva horneada.,6,6,3.0,100.0,11,False,UNIDAD,False
Pan Artesanal Multicereal,PE-FIN-033,Pan con mezcla de cereales.,6,6,3.5,115.0,10,False,UNIDAD,False
Galletas de Avena (Paquete 6u),PE-FIN-034,Galletas saludables de avena.,6,6,4.6,95.0,9,False,UNIDAD,False
Pastel de CafÃ© Individual,PE-FIN-035,Pastel con crema de cafÃ©.,6,6,3.9,105.0,12,False,UNIDAD,False
Quiche de Vegetales Individual,PE-FIN-036,Quiche salado con vegetales frescos.,6,6,4.5,85.0,11,False,UNIDAD,False
