nombre_producto,SKU,descripcion,unidad_produccion_id,unidad_venta_id,precio_venta_usd,punto_reorden,categoria_id,es_intermediario,tipo_medida_fisica,vendible_por_medida_real
Masa Hojaldre ClÃ¡sica,PE-INT-001,Masa base para croissants y productos hojaldrados.,2,2,,5000.0,2,True,PESO,
Crema Pastelera Vainilla,PE-INT-002,Crema base para relleno de tartas y pasteles.,2,2,,3000.0,6,True,PESO,
AlmÃ­bar Simple,PE-INT-003,Jarabe de azÃºcar para humedecer bizcochos.,5,5,,2000.0,4,True,VOLUMEN,
Relleno de Carne Molida,PE-INT-004,Relleno salado para empanadas y pastelitos.,2,2,,4000.0,3,True,PESO,
Masa de Pan Blanco,PE-INT-005,Masa base para panes artesanales.,2,2,,6000.0,2,True,PESO,
Crema Chantilly,PE-INT-006,Crema batida endulzada para decoraciÃ³n.,2,2,,2500.0,6,True,PESO,
Merengue Italiano,PE-INT-007,Merengue estable para decoraciÃ³n y relleno.,2,2,,2000.0,5,True,PESO,
Ganache de Chocolate,PE-INT-008,Crema de chocolate para relleno y cobertura.,2,2,,3500.0,6,True,PESO,
Masa de Bizcocho Vainilla,PE-INT-009,Base esponjosa para tortas y pasteles.,2,2,,4000.0,5,True,PESO,
Relleno de Pollo Guisado,PE-INT-010,Relleno salado con pollo y vegetales.,2,2,,3500.0,3,True,PESO,
AlmÃ­bar de Frutas Rojas,PE-INT-011,Jarabe concentrado de frutas del bosque.,5,5,,1500.0,4,True,VOLUMEN,
Base de Tarta Dulce,PE-INT-012,Masa quebrada para bases de tartas.,2,2,,5000.0,1,True,PESO,
Crema de LimÃ³n,PE-INT-013,Crema Ã¡cida para relleno de tartas.,2,2,,2500.0,6,True,PESO,
Masa de Pan Integral,PE-INT-014,Masa de pan con harina integral.,2,2,,5500.0,2,True,PESO,
Relleno de Queso y JamÃ³n,PE-INT-015,Relleno salado clÃ¡sico para pastelitos.,2,2,,3000.0,3,True,PESO,
Glaseado Real,PE-INT-016,Glaseado blanco para decoraciÃ³n de galletas.,2,2,,2000.0,7,True,PESO,
Masa de Galletas Mantequilla,PE-INT-017,Masa base para galletas de mantequilla.,2,2,,4500.0,2,True,PESO,
Crema de CafÃ©,PE-INT-018,Crema con sabor a cafÃ© para relleno.,2,2,,2800.0,6,True,PESO,
AlmÃ­bar de Naranja,PE-INT-019,Jarabe cÃ­trico para humedecer bizcochos.,5,5,,1800.0,4,True,VOLUMEN,
Masa de Pan de MaÃ­z,PE-INT-020,Masa dulce con harina de maÃ­z.,2,2,,4000.0,2,True,PESO,
Relleno de AtÃºn,PE-INT-021,Relleno de atÃºn con vegetales.,2,2,,3200.0,3,True,PESO,
Crema de Chocolate Blanco,PE-INT-022,Crema suave de chocolate blanco.,2,2,,3000.0,6,True,PESO,
Base de Galleta Triturada,PE-INT-023,Base para cheesecakes y tartas frÃ­as.,2,2,,3500.0,1,True,PESO,
Masa de Bizcocho Chocolate,PE-INT-024,Bizcocho oscuro con cacao.,2,2,,4200.0,5,True,PESO,
Relleno de Vegetales Salteados,PE-INT-025,Relleno vegetariano para empanadas.,2,2,,2800.0,3,True,PESO,
Crema de Dulce de Leche,PE-INT-026,Crema cremosa de dulce de leche.,2,2,,3200.0,6,True,PESO,
AlmÃ­bar de Chocolate,PE-INT-027,Jarabe de chocolate para decoraciÃ³n.,5,5,,2000.0,4,True,VOLUMEN,
Masa de Pan de Avena,PE-INT-028,Masa nutritiva con avena.,2,2,,5000.0,2,True,PESO,
Relleno de JamÃ³n y Queso Crema,PE-INT-029,Relleno cremoso para pastelitos.,2,2,,3400.0,3,True,PESO,
Crema de Fresa,PE-INT-030,Crema rosada con sabor a fresa.,2,2,,2700.0,6,True,PESO,
Base de Hojaldre Salado,PE-INT-031,Masa hojaldre para productos salados.,2,2,,4800.0,2,True,PESO,
Glaseado de Chocolate,PE-INT-032,Cobertura brillante de chocolate.,2,2,,2500.0,7,True,PESO,
Masa de Bizcocho Zanahoria,PE-INT-033,Bizcocho hÃºmedo con zanahoria rallada.,2,2,,4300.0,5,True,PESO,
Relleno de Carne Mechada,PE-INT-034,Relleno tradicional venezolano.,2,2,,3800.0,3,True,PESO,
Crema de Moka,PE-INT-035,Crema combinada de cafÃ© y chocolate.,2,2,,3100.0,6,True,PESO,
AlmÃ­bar de LimÃ³n,PE-INT-036,Jarabe Ã¡cido de limÃ³n.,5,5,,1700.0,4,True,VOLUMEN,
Masa de Pan de Bono,PE-INT-037,Masa colombiana con almidÃ³n de yuca.,2,2,,4500.0,2,True,PESO,
Relleno de Espinaca y Queso,PE-INT-038,Relleno vegetariano con espinaca.,2,2,,3000.0,3,True,PESO,
Crema de Pistacho,PE-INT-039,Crema verde con pistachos molidos.,2,2,,3500.0,6,True,PESO,
Base de Tarta Salada,PE-INT-040,Masa quebrada para quiches.,2,2,,4700.0,1,True,PESO,
Merengue FrancÃ©s,PE-INT-041,Merengue ligero para decoraciÃ³n.,2,2,,1800.0,5,True,PESO,
Masa de Galletas Chocolate,PE-INT-042,Masa oscura para galletas.,2,2,,4600.0,2,True,PESO,
Relleno de ChampiÃ±ones,PE-INT-043,Relleno gourmet con champiÃ±ones.,2,2,,3300.0,3,True,PESO,
Crema de Coco,PE-INT-044,Crema tropical con coco rallado.,2,2,,2900.0,6,True,PESO,
AlmÃ­bar de CafÃ©,PE-INT-045,Jarabe concentrado de cafÃ©.,5,5,,1900.0,4,True,VOLUMEN,
Masa de Pan de Centeno,PE-INT-046,Masa densa con harina de centeno.,2,2,,5200.0,2,True,PESO,
Relleno de Pavo y ArÃ¡ndanos,PE-INT-047,Relleno festivo para empanadas.,2,2,,3600.0,3,True,PESO,
Crema de Caramelo,PE-INT-048,Crema dulce de caramelo.,2,2,,2800.0,6,True,PESO,
Base de Brownie,PE-INT-049,Base densa de chocolate para postres.,2,2,,4000.0,1,True,PESO,
Glaseado de Vainilla,PE-INT-050,Cobertura blanca de vainilla.,2,2,,2300.0,7,True,PESO,
Masa Pan de Guayaba,PE-INT-051,Masa dulce para pan de guayaba.,1,,,5000.0,2,TRUE,PESO,
Masa de Pan de JamÃ³n,PE-INT-053,Masa base leudada para Pan de JamÃ³n.,2,,,5000.0,2,TRUE,PESO,
Relleno de Pan de JamÃ³n,PE-INT-054,Mezcla preparada de jamÃ³n tocino y frutos para relleno.,2,,,3000.0,3,TRUE,PESO,
